track_name,track_artist,valence,energy,track_album_name,track_href,track_album_release_date,track_popularity
Don't Cry (Original),Guns N' Roses,0.254,0.589,Use Your Illusion I,https://api.spotify.com/v1/tracks/2N2yrmodOnVF10mKvItC9P,1991-09-17,75
All Along the Watchtower,Jimi Hendrix,0.564,0.805,Electric Ladyland,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f,1968-10-25,72
In The Air Tonight - 2015 Remastered,Phil Collins,0.298,0.239,Face Value (Deluxe Editon),https://api.spotify.com/v1/tracks/18AXbzPzBS8Y3AkgSxzJPb,1981-01-01,76
Psycho Killer - 2005 Remaster,Talking Heads,0.942,0.521,Talking Heads '77 (Deluxe Version),https://api.spotify.com/v1/tracks/1i6N76fftMZhijOzFQ5ZtL,1977-09-16,76
Are You Gonna Go My Way,Lenny Kravitz,0.777,0.67,Are You Gonna Go My Way,https://api.spotify.com/v1/tracks/45Ia1U4KtIjAPPU7Wv1Sea,1993-03-09,71
Master of Puppets (Remastered),Metallica,0.562,0.828,Master of Puppets (Remastered Deluxe Box Set),https://api.spotify.com/v1/tracks/54bm2e3tk8cliUz3VSdCPZ,1986-03-03,70
Everywhere - 2017 Remaster,Fleetwood Mac,0.731,0.487,Tango In the Night (Deluxe Edition),https://api.spotify.com/v1/tracks/254bXAqt3zP6P50BdQvEsq,1987-04-13,79
Have You Ever Seen The Rain,Creedence Clearwater Revival,0.774,0.697,Pendulum (Expanded Edition),https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU,1970-12-07,84
Just What I Needed,The Cars,0.691,0.579,The Cars,https://api.spotify.com/v1/tracks/4alHo6RGd0D3OUbTPExTHN,1978-06-06,69
Smells Like Teen Spirit,Nirvana,0.72,0.912,Nevermind (Remastered),https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T,1991-09-26,76
Killing In The Name,Rage Against The Machine,0.661,0.833,Rage Against The Machine - XX (20th Anniversary Special Edition),https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,1992,78
Come Together - Remastered 2009,The Beatles,0.188,0.376,Abbey Road (Remastered),https://api.spotify.com/v1/tracks/2EqlS6tkEnglzr7tkKAAYD,1969-09-26,75
Carry on Wayward Son,Kansas,0.793,0.786,Leftoverture (Expanded Edition),https://api.spotify.com/v1/tracks/4DMKwE2E2iYDKY01C335Uw,1976,73
Song 2 - 2012 Remaster,Blur,0.918,0.789,Blur (Special Edition),https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM,1997-02-10,78
Where Is My Mind? - 2007 Remaster,Pixies,0.25,0.441,Surfer Rosa (2007 Remaster),https://api.spotify.com/v1/tracks/7wCmS9TTVUcIhRalDYFgPy,1988-03-21,76
Should I Stay or Should I Go - Remastered,The Clash,0.82,0.836,Combat Rock (Remastered),https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,1982,80
Another One Bites The Dust - Remastered 2011,Queen,0.757,0.528,The Game (Deluxe Remastered Version),https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J,1980-06-27,71
Uprising,Muse,0.411,0.905,The Resistance,https://api.spotify.com/v1/tracks/4VqPOruhp5EdPBeR92t6lQ,2009-09-10,75
For What It's Worth,Buffalo Springfield,0.822,0.519,Buffalo Springfield,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA,1966-12-05,76
